name,c11_in,c22_in,c33_in,c44_in,c55_in,c66_in,c56_in,c46_in,c36_in,c26_in,c16_in,c45_in,c35_in,c25_in,c15_in,c34_in,c24_in,c14_in,c23_in,c13_in,c12_in,hill1,hill2,hill3,hill4,hill5,hill6,J,BA,BC,AC
nv166a_rotated,202.81,219.04,209.83,70.59,66.76,68.87,-0.2,-0.11,0.01,0.91,0.75,0.43,-0.32,-0.12,-0.23,-0.38,-0.42,0.03,72.87,72.46,72.25,0.391,0.445,0.3,1.508,1.807,2.074,2.15545412075456,0.611151798597198,0.606446483645479,0.49529468504828
bc101a_rotated,204.0,217.48,209.81,70.32,67.09,68.97,0.42,0.18,0.01,1.53,1.43,0.69,0.36,0.04,0.38,0.92,0.84,0.03,72.85,72.55,72.32,0.444,0.463,0.367,1.42,1.716,1.808,2.00552518595677,0.55010654539144,0.495544929320743,0.445438383929303
nv126a_rotated,199.85,223.06,209.42,71.47,65.89,68.8,0.09,0.42,-0.03,-0.23,-0.19,-0.07,0.76,0.08,0.69,0.25,0.2,-0.05,72.95,72.44,72.11,0.422,0.464,0.182,1.343,1.832,2.74,3.17790056307553,0.572875248098085,0.501193237832945,0.42831798973486
nv164a_rotated,202.09,221.35,208.56,70.72,66.27,69.16,0.08,0.25,-0.0,-0.03,-0.01,-0.03,0.36,0.04,0.37,0.11,0.16,0.0,72.76,72.48,72.26,0.352,0.467,0.284,1.609,1.782,2.087,2.35029602762195,0.485836510678866,0.461381423921148,0.475544913242281
bc121a_rotated,201.88,218.3,211.4,70.85,66.94,68.49,0.34,-0.27,-0.11,-0.62,-0.57,-0.3,-0.44,-0.02,-0.46,0.68,0.63,0.03,72.92,72.45,72.27,0.421,0.474,0.33,1.414,1.716,1.989,2.05188880836624,0.6928660582438,0.601633454518096,0.408767396274296
nv121a_rotated,203.19,219.52,208.81,70.48,66.73,69.11,0.22,0.73,0.05,-0.6,-0.52,-0.18,1.24,0.08,1.18,0.58,0.54,-0.0,72.77,72.57,72.34,0.39,0.561,0.334,1.523,1.535,1.872,2.04380666774349,0.555495986725567,0.559748151539918,0.504252164814351
nv123a_rotated,204.54,217.57,209.22,70.05,67.13,69.11,-0.04,-0.11,-0.06,-0.03,-0.02,-0.03,-0.41,-0.05,-0.36,-0.15,-0.13,-0.03,72.78,72.54,72.33,0.376,0.521,0.392,1.607,1.573,1.727,1.75930490646979,0.533872186414143,0.516887714517935,0.483015528103792
bc123a_rotated,202.66,218.04,210.65,70.62,66.98,68.77,-0.3,-0.26,0.13,0.89,0.81,0.44,-0.39,-0.04,-0.43,-0.74,-0.62,0.02,72.92,72.5,72.3,0.414,0.479,0.413,1.449,1.692,1.705,2.02127267565355,0.673564304276963,0.614970683630268,0.441406379353305
nv168a_rotated,204.51,216.23,210.38,70.16,67.35,68.86,-0.23,0.1,0.07,0.55,0.51,0.26,0.19,0.03,0.12,-0.5,-0.44,0.03,72.83,72.56,72.34,0.443,0.461,0.447,1.445,1.695,1.604,1.67444169285364,0.67634625826607,0.569440241893873,0.393093983627803
nv163a_rotated,201.09,223.76,207.44,70.93,65.78,69.45,0.06,0.35,-0.05,-0.47,-0.37,-0.22,0.63,0.09,0.61,0.15,0.09,0.0,72.81,72.51,72.18,0.322,0.518,0.259,1.663,1.677,2.196,3.1105794944499,0.456509833209733,0.45181115830236,0.495301325092627
rk123a_rotated,200.88,220.3,210.5,71.18,66.5,68.63,0.06,0.06,0.02,0.73,0.57,0.34,0.12,0.04,0.16,-0.01,0.08,0.01,73.0,72.44,72.24,0.46,0.5,0.281,1.309,1.697,2.15,2.36857151015012,0.628380048486356,0.651229612904743,0.522849564418387
bc122a_rotated,202.05,219.99,209.66,70.72,66.59,68.95,-0.19,-0.09,-0.02,-0.54,-0.46,-0.24,-0.27,-0.06,-0.2,-0.53,-0.45,0.02,72.92,72.49,72.21,0.385,0.498,0.305,1.507,1.677,2.036,2.39006851780608,0.600731947536453,0.652174058582686,0.551442111046233
nv161a_rotated,202.97,218.18,210.19,70.61,66.96,68.79,-0.33,-0.19,-0.02,0.01,0.04,0.06,-0.45,-0.05,-0.42,-0.7,-0.76,0.0,72.85,72.45,72.43,0.444,0.476,0.369,1.401,1.712,1.797,1.73458632778571,0.555535301388707,0.535347268465861,0.479811967077154
nv125a_rotated,202.59,218.83,210.19,70.62,66.89,68.74,-0.25,-0.33,0.05,-0.08,-0.06,0.01,-0.59,-0.07,-0.5,-0.46,-0.55,-0.07,72.83,72.5,72.26,0.389,0.511,0.302,1.515,1.625,2.072,1.99879257784969,0.585768172356063,0.707835054080025,0.622066881723962
nv127a_rotated,201.17,222.46,208.47,70.87,66.07,69.24,-0.01,0.22,0.01,-0.68,-0.55,-0.27,0.3,0.06,0.36,-0.12,0.01,-0.02,72.93,72.43,72.18,0.344,0.501,0.268,1.598,1.715,2.177,2.90044870762765,0.494255125376194,0.582710680725881,0.588455555349687
