name,c11_out,c22_out,c33_out,c44_out,c55_out,c66_out,c56_out,c46_out,c36_out,c26_out,c16_out,c45_out,c35_out,c25_out,c15_out,c34_out,c24_out,c14_out,c23_out,c13_out,c12_out,hill1_out,hill2_out,hill3_out,hill4_out,hill5_out,hill6_out,J,BA,BC,AC
02-TFA-V-1C_For_EULER_rotated,205.54,215.68,210.32,69.75,67.31,69.08,0.06,0.1,-0.01,0.39,0.54,0.18,0.21,0.17,0.17,-0.07,-0.02,0.0,72.8,72.36,72.34,0.345,0.298,0.511,1.753,2.264,1.42,2.49105840022337,0.460480384018814,0.456714856345731,0.496234472326917
UAH280X_For_EULER_rotated,207.66,216.49,207.01,69.41,67.31,69.63,-0.05,-0.37,-0.0,0.82,0.76,0.36,-0.69,0.01,-0.71,-0.01,-0.01,-0.08,72.6,72.54,72.55,0.421,0.492,0.423,1.582,1.623,1.553,1.43399011145655,0.277765008428521,0.369707610944079,0.591942602515557
THTFA1A_For_EULER_rotated,200.17,215.96,216.14,71.29,67.36,67.34,0.17,-0.29,0.05,0.1,0.11,-0.05,-0.56,-0.01,-0.51,0.32,0.3,-0.05,73.07,72.17,72.13,0.404,0.239,0.254,1.339,2.761,2.637,3.27387922733504,0.903115192244324,0.539298164344861,0.136182972100537
RPA18A_For_EULER_rotated,199.66,220.43,212.07,71.61,66.39,68.14,0.06,-0.23,0.06,-0.33,-0.22,-0.11,-0.36,-0.1,-0.26,0.22,-0.1,-0.04,73.17,72.23,72.11,0.476,0.311,0.165,1.171,2.504,3.167,3.71605564525158,0.692021683367899,0.571802341721501,0.379780658353602
THTFA4A_For_EULER_rotated,200.37,217.58,214.05,71.4,66.96,67.76,-0.21,0.07,0.16,-0.26,-0.18,-0.04,-0.05,-0.02,-0.02,-0.24,-0.17,0.04,73.2,72.26,72.04,0.501,0.278,0.216,1.12,2.542,2.839,3.37217602586649,0.796455491740424,0.581307811781568,0.284852320041145
THT2_For_EULER_rotated,207.58,214.08,209.39,69.42,67.93,68.98,-0.23,0.43,0.05,0.79,0.72,0.4,0.78,0.07,0.92,-0.57,-0.54,-0.12,72.72,72.55,72.44,0.474,0.5,0.357,1.447,1.546,1.825,1.63129211553017,0.504690571023545,0.713236072000368,0.708545500976824
FTH101A_For_EULER_rotated,203.69,219.19,208.9,70.48,66.62,69.05,-0.11,-0.01,-0.08,0.12,0.04,0.01,0.07,-0.1,0.1,-0.33,-0.3,-0.01,73.03,72.36,72.12,0.487,0.335,0.215,1.253,2.278,2.513,3.04155342918543,0.501869615514359,0.468967723715817,0.467098108201457
THTFA5a-3a_For_EULER_rotated,210.06,214.08,206.7,68.85,67.83,69.8,0.38,0.36,-0.09,1.66,1.58,0.78,0.71,0.03,0.7,0.72,0.79,-0.07,72.64,72.52,72.68,0.52,0.409,0.507,1.436,1.768,1.379,1.63972962413252,0.319016262934406,0.23918771243162,0.420171449497214
THTFA1E_For_EULER_rotated,206.53,213.08,211.24,69.74,68.08,68.6,-0.12,-0.12,-0.11,0.05,0.01,0.06,-0.05,0.05,-0.04,-0.21,-0.19,-0.08,72.78,72.54,72.47,0.493,0.431,0.477,1.395,1.69,1.554,1.40873102228134,0.653994751166783,0.563905941073841,0.409911189907058
RPA9_For_EULER_rotated,208.98,214.09,208.04,68.99,67.94,69.37,-0.46,-0.2,-0.02,0.05,0.07,-0.05,-0.36,-0.06,-0.41,-0.92,-0.93,0.01,72.66,72.48,72.52,0.371,0.464,0.421,1.721,1.622,1.59,1.47178358219895,0.419328042785774,0.461982808908486,0.542654766122712
