[2026-08-07 07:25:11,398][mlp_training_pipeline][INFO] - Instantiating datamodule <data.anisotropy_datamodule.AnisotropyDataModule>
[2026-08-07 07:25:16,437][mlp_training_pipeline][INFO] - Instantiating model <models.mlp.network.MLP>
[2026-08-07 07:25:16,443][mlp_training_pipeline][INFO] - Model instantiated with 197824 parameters
[2026-08-07 07:25:16,443][mlp_training_pipeline][INFO] - Loss and tracking metric instantiated
[2026-08-07 07:25:16,444][mlp_training_pipeline][INFO] - Optimizer instantiated
[2026-08-07 07:25:16,444][mlp_training_pipeline][INFO] - Instantiating Tensorboard logger
[2026-08-07 07:25:16,447][mlp_training_pipeline][INFO] - Starting training!
[2026-08-07 07:25:36,522][root][INFO] - Epoch 1/200, Val Loss: 0.2983, Metric: 0.3968
[2026-08-07 07:25:56,114][root][INFO] - Epoch 2/200, Val Loss: 0.1924, Metric: 0.3115
[2026-08-07 07:26:16,377][root][INFO] - Epoch 3/200, Val Loss: 0.1394, Metric: 0.2665
[2026-08-07 07:26:36,862][root][INFO] - Epoch 4/200, Val Loss: 0.1025, Metric: 0.2286
[2026-08-07 07:26:57,415][root][INFO] - Epoch 5/200, Val Loss: 0.0745, Metric: 0.1951
[2026-08-07 07:27:18,159][root][INFO] - Epoch 6/200, Val Loss: 0.0553, Metric: 0.1670
[2026-08-07 07:27:38,803][root][INFO] - Epoch 7/200, Val Loss: 0.0391, Metric: 0.1386
[2026-08-07 07:27:59,522][root][INFO] - Epoch 8/200, Val Loss: 0.0303, Metric: 0.1202
[2026-08-07 07:28:19,770][root][INFO] - Epoch 9/200, Val Loss: 0.0230, Metric: 0.1043
[2026-08-07 07:28:40,402][root][INFO] - Epoch 10/200, Val Loss: 0.0193, Metric: 0.0944
[2026-08-07 07:29:00,141][root][INFO] - Epoch 11/200, Val Loss: 0.0157, Metric: 0.0847
[2026-08-07 07:29:20,341][root][INFO] - Epoch 12/200, Val Loss: 0.0132, Metric: 0.0774
[2026-08-07 07:29:41,085][root][INFO] - Epoch 13/200, Val Loss: 0.0113, Metric: 0.0726
[2026-08-07 07:30:01,234][root][INFO] - Epoch 14/200, Val Loss: 0.0099, Metric: 0.0670
[2026-08-07 07:30:21,792][root][INFO] - Epoch 15/200, Val Loss: 0.0086, Metric: 0.0617
[2026-08-07 07:30:42,661][root][INFO] - Epoch 16/200, Val Loss: 0.0078, Metric: 0.0591
[2026-08-07 07:31:03,427][root][INFO] - Epoch 17/200, Val Loss: 0.0069, Metric: 0.0554
[2026-08-07 07:31:23,013][root][INFO] - Epoch 18/200, Val Loss: 0.0062, Metric: 0.0528
[2026-08-07 07:31:44,028][root][INFO] - Epoch 19/200, Val Loss: 0.0057, Metric: 0.0495
[2026-08-07 07:32:03,745][root][INFO] - Epoch 20/200, Val Loss: 0.0053, Metric: 0.0493
[2026-08-07 07:32:24,670][root][INFO] - Epoch 21/200, Val Loss: 0.0047, Metric: 0.0455
[2026-08-07 07:32:44,600][root][INFO] - Epoch 22/200, Val Loss: 0.0043, Metric: 0.0438
[2026-08-07 07:33:04,069][root][INFO] - Epoch 23/200, Val Loss: 0.0040, Metric: 0.0420
[2026-08-07 07:33:23,775][root][INFO] - Epoch 24/200, Val Loss: 0.0037, Metric: 0.0408
[2026-08-07 07:33:43,682][root][INFO] - Epoch 25/200, Val Loss: 0.0034, Metric: 0.0392
[2026-08-07 07:34:04,009][root][INFO] - Epoch 26/200, Val Loss: 0.0034, Metric: 0.0386
[2026-08-07 07:34:23,715][root][INFO] - Epoch 27/200, Val Loss: 0.0030, Metric: 0.0362
[2026-08-07 07:34:44,139][root][INFO] - Epoch 28/200, Val Loss: 0.0029, Metric: 0.0352
[2026-08-07 07:35:04,639][root][INFO] - Epoch 29/200, Val Loss: 0.0027, Metric: 0.0356
[2026-08-07 07:35:24,072][root][INFO] - Epoch 30/200, Val Loss: 0.0026, Metric: 0.0333
[2026-08-07 07:35:44,567][root][INFO] - Epoch 31/200, Val Loss: 0.0026, Metric: 0.0329
[2026-08-07 07:36:03,977][root][INFO] - Epoch 32/200, Val Loss: 0.0023, Metric: 0.0321
[2026-08-07 07:36:23,468][root][INFO] - Epoch 33/200, Val Loss: 0.0022, Metric: 0.0324
[2026-08-07 07:36:44,202][root][INFO] - Epoch 34/200, Val Loss: 0.0021, Metric: 0.0308
[2026-08-07 07:37:03,674][root][INFO] - Epoch 35/200, Val Loss: 0.0021, Metric: 0.0303
[2026-08-07 07:37:22,924][root][INFO] - Epoch 36/200, Val Loss: 0.0018, Metric: 0.0287
[2026-08-07 07:37:43,348][root][INFO] - Epoch 37/200, Val Loss: 0.0018, Metric: 0.0283
[2026-08-07 07:38:03,610][root][INFO] - Epoch 38/200, Val Loss: 0.0017, Metric: 0.0274
[2026-08-07 07:38:23,983][root][INFO] - Epoch 39/200, Val Loss: 0.0018, Metric: 0.0282
[2026-08-07 07:38:44,135][root][INFO] - Epoch 40/200, Val Loss: 0.0017, Metric: 0.0285
[2026-08-07 07:39:04,981][root][INFO] - Epoch 41/200, Val Loss: 0.0015, Metric: 0.0260
[2026-08-07 07:39:25,004][root][INFO] - Epoch 42/200, Val Loss: 0.0015, Metric: 0.0260
[2026-08-07 07:39:45,740][root][INFO] - Epoch 43/200, Val Loss: 0.0015, Metric: 0.0268
[2026-08-07 07:40:06,161][root][INFO] - Epoch 44/200, Val Loss: 0.0014, Metric: 0.0259
[2026-08-07 07:40:26,407][root][INFO] - Epoch 45/200, Val Loss: 0.0014, Metric: 0.0261
[2026-08-07 07:40:46,721][root][INFO] - Epoch 46/200, Val Loss: 0.0013, Metric: 0.0243
[2026-08-07 07:41:06,700][root][INFO] - Epoch 47/200, Val Loss: 0.0013, Metric: 0.0246
[2026-08-07 07:41:26,473][root][INFO] - Epoch 48/200, Val Loss: 0.0012, Metric: 0.0240
[2026-08-07 07:41:45,744][root][INFO] - Epoch 49/200, Val Loss: 0.0012, Metric: 0.0241
[2026-08-07 07:42:06,102][root][INFO] - Epoch 50/200, Val Loss: 0.0016, Metric: 0.0243
[2026-08-07 07:42:26,228][root][INFO] - Epoch 51/200, Val Loss: 0.0011, Metric: 0.0235
[2026-08-07 07:42:46,110][root][INFO] - Epoch 52/200, Val Loss: 0.0011, Metric: 0.0235
[2026-08-07 07:43:06,260][root][INFO] - Epoch 53/200, Val Loss: 0.0012, Metric: 0.0244
[2026-08-07 07:43:25,415][root][INFO] - Epoch 54/200, Val Loss: 0.0011, Metric: 0.0228
[2026-08-07 07:43:45,649][root][INFO] - Epoch 55/200, Val Loss: 0.0012, Metric: 0.0227
[2026-08-07 07:44:04,904][root][INFO] - Epoch 56/200, Val Loss: 0.0011, Metric: 0.0232
[2026-08-07 07:44:25,292][root][INFO] - Epoch 57/200, Val Loss: 0.0010, Metric: 0.0218
[2026-08-07 07:44:44,776][root][INFO] - Epoch 58/200, Val Loss: 0.0010, Metric: 0.0222
[2026-08-07 07:45:05,117][root][INFO] - Epoch 59/200, Val Loss: 0.0010, Metric: 0.0220
[2026-08-07 07:45:24,774][root][INFO] - Epoch 60/200, Val Loss: 0.0009, Metric: 0.0207
[2026-08-07 07:45:44,774][root][INFO] - Epoch 61/200, Val Loss: 0.0009, Metric: 0.0205
[2026-08-07 07:46:04,382][root][INFO] - Epoch 62/200, Val Loss: 0.0009, Metric: 0.0212
[2026-08-07 07:46:23,477][root][INFO] - Epoch 63/200, Val Loss: 0.0009, Metric: 0.0202
[2026-08-07 07:46:43,330][root][INFO] - Epoch 64/200, Val Loss: 0.0008, Metric: 0.0199
[2026-08-07 07:47:02,631][root][INFO] - Epoch 65/200, Val Loss: 0.0008, Metric: 0.0204
[2026-08-07 07:47:22,774][root][INFO] - Epoch 66/200, Val Loss: 0.0009, Metric: 0.0214
